# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.check.recursive.update.ms,1743796172779000000,1743796208600000000,0
workspaceModel.updates.count,1743796172779000000,1743796208600000000,5
workspaceModel.loading.total.ms,1743796172779000000,1743796208600000000,87
workspaceModel.initializing.ms,1743796172779000000,1743796208600000000,6
workspaceModel.updates.ms,1743796172779000000,1743796208600000000,76
workspaceModel.pre.handlers.ms,1743796172779000000,1743796208600000000,0
workspaceModel.loading.from.cache.ms,1743796172779000000,1743796208600000000,82
workspaceModel.init.bridges.ms,1743796172779000000,1743796208600000000,6
workspaceModel.replace.project.model.ms,1743796172779000000,1743796208600000000,0
workspaceModel.collect.changes.ms,1743796172779000000,1743796208600000000,0
workspaceModel.updates.precise.ms,1743796172779000000,1743796208600000000,25
workspaceModel.to.snapshot.ms,1743796172779000000,1743796208600000000,1
workspaceModel.update.unloaded.entities.ms,1743796172779000000,1743796208600000000,0
Indexes.stubs.lookupDurationMaxMs,1743796172779000000,1743796208600000000,0.0
Indexes.stubs.lookups,1743796172779000000,1743796208600000000,0.0
Indexes.entries.lookups,1743796172779000000,1743796208600000000,9.0
Indexes.allKeys.lookupDuration90PMs,1743796172779000000,1743796208600000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1743796172779000000,1743796208600000000,0.0
Indexes.stubs.lookupDuration90PMs,1743796172779000000,1743796208600000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1743796172779000000,1743796208600000000,0.0
Indexes.entries.lookupDurationMaxMs,1743796172779000000,1743796208600000000,9.0
Indexes.allKeys.lookups,1743796172779000000,1743796208600000000,0.0
Indexes.entries.lookupDurationAvgMs,1743796172779000000,1743796208600000000,2.111111111111111
Indexes.stubs.lookupDurationAvgMs,1743796172779000000,1743796208600000000,0.0
Indexes.entries.lookupDuration90PMs,1743796172779000000,1743796208600000000,9.0
FileNameCache.fastMisses,1743796172779000000,1743796208600000000,70020
FileNameCache.totalMisses,1743796172779000000,1743796208600000000,45757
FileNameCache.queries,1743796172779000000,1743796208600000000,1511838
