# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.disposed,1743796935355000000,1743796963103000000,207
FilePageCache.disposedBuffers,1743796935355000000,1743796963103000000,256
FilePageCache.totalPageDisposalsUs,1743796935355000000,1743796963103000000,311
FilePageCache.pageHits,1743796935355000000,1743796963103000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1743796935355000000,1743796963103000000,0
DirectByteBufferAllocator.misses,1743796935355000000,1743796963103000000,261
FilePageCache.uncachedFileAccess,1743796935355000000,1743796963103000000,155
FilePageCache.capacityInBytes,1743796935355000000,1743796963103000000,524288000
StorageLockContext.competingThreads.avg,1743796935355000000,1743796963103000000,0.0
DirectByteBufferAllocator.reclaimed,1743796935355000000,1743796963103000000,49
StorageLockContext.competingThreads.90P,1743796935355000000,1743796963103000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1743796935355000000,1743796963103000000,52469760
FilePageCache.totalPageLoadsUs,1743796935355000000,1743796963103000000,240703
FilePageCache.maxRegisteredFiles,1743796935355000000,1743796963103000000,669
FilePageCache.pageLoads,1743796935355000000,1743796963103000000,264
StorageLockContext.competingThreads.max,1743796935355000000,1743796963103000000,0
FilePageCache.maxCacheSizeInBytes,1743796935355000000,1743796963103000000,277913600
DirectByteBufferAllocator.hits,1743796935355000000,1743796963103000000,3
FilePageCache.pageFastCacheHits,1743796935355000000,1743796963103000000,158608
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1743796935355000000,1743796963103000000,60858368
FileNameCache.queries,1743796935355000000,1743796963103000000,1468754
FileNameCache.totalMisses,1743796935355000000,1743796963103000000,44725
FileNameCache.fastMisses,1743796935355000000,1743796963103000000,67390
workspaceModel.mutableEntityStorage.to.snapshot.ms,1743796935355000000,1743796963103000000,0
jps.global.get.libraries.ms,1743796935355000000,1743796963103000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1743796935355000000,1743796963103000000,163
workspaceModel.mutableEntityStorage.entities.by.source.ms,1743796935355000000,1743796963103000000,1
workspaceModel.global.updates.ms,1743796935355000000,1743796963103000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1743796935355000000,1743796963103000000,0
workspaceModel.save.cache.to.file.ms,1743796935355000000,1743796963103000000,48
workspaceModel.moduleManagerBridge.build.module.graph.ms,1743796935355000000,1743796963103000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1743796935355000000,1743796963103000000,51
jps.load.initial.state.ms,1743796935355000000,1743796963103000000,2
workspaceModel.global.apply.state.to.project.ms,1743796935355000000,1743796963103000000,2
jps.project.serializers.save.ms,1743796935355000000,1743796963103000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1743796935355000000,1743796963103000000,12
workspaceModel.moduleBridge.facet.initialization.ms,1743796935355000000,1743796963103000000,0
workspaceModel.global.updates.count,1743796935355000000,1743796963103000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1743796935355000000,1743796963103000000,5
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1743796935355000000,1743796963103000000,1
jps.artifact.entities.serializer.load.entities.ms,1743796935355000000,1743796963103000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1743796935355000000,1743796963103000000,0
jps.global.initialize.library.bridges.ms,1743796935355000000,1743796963103000000,4
workspaceModel.mutableEntityStorage.has.same.entities.ms,1743796935355000000,1743796963103000000,0
jps.global.handle.before.change.events.ms,1743796935355000000,1743796963103000000,0
jps.library.entities.serializer.load.entities.ms,1743796935355000000,1743796963103000000,4
workspaceModel.moduleManagerBridge.create.module.instance.ms,1743796935355000000,1743796963103000000,0
jps.global.handle.changed.events.ms,1743796935355000000,1743796963103000000,0
jps.facet.change.listener.process.change.events.ms,1743796935355000000,1743796963103000000,2
jps.global.initialize.library.bridges.after.loading.ms,1743796935355000000,1743796963103000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1743796935355000000,1743796963103000000,6
jps.reload.project.entities.ms,1743796935355000000,1743796963103000000,0
jps.module.iml.entities.serializer.save.entities.ms,1743796935355000000,1743796963103000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1743796935355000000,1743796963103000000,82
jps.save.global.entities.ms,1743796935355000000,1743796963103000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1743796935355000000,1743796963103000000,0
jps.artifact.entities.serializer.save.entities.ms,1743796935355000000,1743796963103000000,0
jps.global.get.library.ms,1743796935355000000,1743796963103000000,0
jps.project.serializers.load.ms,1743796935355000000,1743796963103000000,33
workspaceModel.mutableEntityStorage.remove.entity.ms,1743796935355000000,1743796963103000000,0
jps.app.storage.content.reader.load.component.ms,1743796935355000000,1743796963103000000,0
workspaceModel.sync.entities.ms,1743796935355000000,1743796963103000000,0
jps.facet.change.listener.before.change.events.ms,1743796935355000000,1743796963103000000,0
jps.facet.change.listener.init.bridge.ms,1743796935355000000,1743796963103000000,0
workspaceModel.mutableEntityStorage.entities.ms,1743796935355000000,1743796963103000000,0
jps.save.changed.project.entities.ms,1743796935355000000,1743796963103000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1743796935355000000,1743796963103000000,0
jps.storage.jps.conf.reader.load.component.ms,1743796935355000000,1743796963103000000,19
workspaceModel.moduleManagerBridge.load.module.ms,1743796935355000000,1743796963103000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1743796935355000000,1743796963103000000,6
