# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.totalPageDisposalsUs,1743797392933000000,1743797435892000000,391
FilePageCache.uncachedFileAccess,1743797392933000000,1743797435892000000,275
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1743797392933000000,1743797435892000000,62963712
FilePageCache.pageHits,1743797392933000000,1743797435892000000,0
FilePageCache.maxRegisteredFiles,1743797392933000000,1743797435892000000,684
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1743797392933000000,1743797435892000000,52477952
StorageLockContext.competingThreads.max,1743797392933000000,1743797435892000000,4
FilePageCache.capacityInBytes,1743797392933000000,1743797435892000000,524288000
DirectByteBufferAllocator.misses,1743797392933000000,1743797435892000000,318
DirectByteBufferAllocator.disposed,1743797392933000000,1743797435892000000,261
FilePageCache.pageLoads,1743797392933000000,1743797435892000000,322
FilePageCache.pageLoadsAboveSizeThreshold,1743797392933000000,1743797435892000000,0
FilePageCache.totalPageLoadsUs,1743797392933000000,1743797435892000000,176282
StorageLockContext.competingThreads.90P,1743797392933000000,1743797435892000000,0
FilePageCache.disposedBuffers,1743797392933000000,1743797435892000000,312
DirectByteBufferAllocator.reclaimed,1743797392933000000,1743797435892000000,51
FilePageCache.pageFastCacheHits,1743797392933000000,1743797435892000000,285551
FilePageCache.maxCacheSizeInBytes,1743797392933000000,1743797435892000000,336642048
StorageLockContext.competingThreads.avg,1743797392933000000,1743797435892000000,0.047619047619047616
DirectByteBufferAllocator.hits,1743797392933000000,1743797435892000000,4
Indexes.stubs.lookupDurationMaxMs,1743797392933000000,1743797435892000000,0.0
Indexes.entries.lookupDurationMaxMs,1743797392933000000,1743797435892000000,8.0
Indexes.entries.lookups,1743797392933000000,1743797435892000000,8.0
Indexes.stubs.lookupDuration90PMs,1743797392933000000,1743797435892000000,0.0
Indexes.entries.lookupDuration90PMs,1743797392933000000,1743797435892000000,8.0
Indexes.allKeys.lookups,1743797392933000000,1743797435892000000,0.0
Indexes.entries.lookupDurationAvgMs,1743797392933000000,1743797435892000000,1.625
Indexes.allKeys.lookupDurationMaxMs,1743797392933000000,1743797435892000000,0.0
Indexes.stubs.lookups,1743797392933000000,1743797435892000000,0.0
Indexes.allKeys.lookupDuration90PMs,1743797392933000000,1743797435892000000,0.0
Indexes.stubs.lookupDurationAvgMs,1743797392933000000,1743797435892000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1743797392933000000,1743797435892000000,0.0
AWTEventQueue.eventsDispatched,1743797392933000000,1743797435892000000,5078
FlushQueue.queueSizeMax,1743797392933000000,1743797435892000000,73
FlushQueue.queueSizeAvg,1743797392933000000,1743797435892000000,7.384955752212389
FlushQueue.waitingTime90PNs,1743797392933000000,1743797435892000000,132644863
NonBlockingReadAction.finalizedExecutionsCount,1743797392933000000,1743797435892000000,35
AWTEventQueue.dispatchTime90PNs,1743797392933000000,1743797435892000000,741375
AWTEventQueue.dispatchTimeAvgNs,1743797392933000000,1743797435892000000,1089940.195352501
FlushQueue.executionTime90PNs,1743797392933000000,1743797435892000000,905215
NonBlockingReadAction.failedExecutionTimeUs,1743797392933000000,1743797435892000000,9670
FlushQueue.waitingTimeMaxNs,1743797392933000000,1743797435892000000,1056964607
AWTEventQueue.dispatchTimeTotalNS,1743797392933000000,1743797435892000000,5537394221
FlushQueue.queueSize90P,1743797392933000000,1743797435892000000,19
FlushQueue.waitingTimeAvgNs,1743797392933000000,1743797435892000000,5.038525881415929E7
FlushQueue.tasksExecuted,1743797392933000000,1743797435892000000,1130
NonBlockingReadAction.failedExecutionsCount,1743797392933000000,1743797435892000000,2
FlushQueue.executionTimeAvgNs,1743797392933000000,1743797435892000000,1487295.72920354
FlushQueue.executionTimeMaxNs,1743797392933000000,1743797435892000000,354418687
