# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.collect.changes.ms,1743796712636000000,1743796730096000000,0
workspaceModel.loading.total.ms,1743796712636000000,1743796730096000000,71
workspaceModel.updates.ms,1743796712636000000,1743796730096000000,35
workspaceModel.to.snapshot.ms,1743796712636000000,1743796730096000000,0
workspaceModel.replace.project.model.ms,1743796712636000000,1743796730096000000,0
workspaceModel.init.bridges.ms,1743796712636000000,1743796730096000000,6
workspaceModel.updates.precise.ms,1743796712636000000,1743796730096000000,15
workspaceModel.loading.from.cache.ms,1743796712636000000,1743796730096000000,64
workspaceModel.check.recursive.update.ms,1743796712636000000,1743796730096000000,0
workspaceModel.updates.count,1743796712636000000,1743796730096000000,5
workspaceModel.update.unloaded.entities.ms,1743796712636000000,1743796730096000000,0
workspaceModel.initializing.ms,1743796712636000000,1743796730096000000,6
workspaceModel.pre.handlers.ms,1743796712636000000,1743796730096000000,0
FlushQueue.executionTimeAvgNs,1743796712636000000,1743796730096000000,1892490.6706008583
NonBlockingReadAction.failedExecutionTimeUs,1743796712636000000,1743796730096000000,134334
FlushQueue.queueSizeMax,1743796712636000000,1743796730096000000,64
FlushQueue.executionTime90PNs,1743796712636000000,1743796730096000000,1302527
AWTEventQueue.eventsDispatched,1743796712636000000,1743796730096000000,3404
NonBlockingReadAction.failedExecutionsCount,1743796712636000000,1743796730096000000,2
AWTEventQueue.dispatchTime90PNs,1743796712636000000,1743796730096000000,897023
AWTEventQueue.dispatchTimeMaxNs,1743796712636000000,1743796730096000000,308281343
FlushQueue.executionTimeMaxNs,1743796712636000000,1743796730096000000,304087039
AWTEventQueue.dispatchTimeAvgNs,1743796712636000000,1743796730096000000,1030450.4065804936
FlushQueue.queueSizeAvg,1743796712636000000,1743796730096000000,10.861587982832617
FlushQueue.waitingTime90PNs,1743796712636000000,1743796730096000000,124780543
FlushQueue.waitingTimeAvgNs,1743796712636000000,1743796730096000000,4.1905573534334764E7
NonBlockingReadAction.finalizedExecutionsCount,1743796712636000000,1743796730096000000,24
FlushQueue.queueSize90P,1743796712636000000,1743796730096000000,34
FlushQueue.tasksExecuted,1743796712636000000,1743796730096000000,932
NonBlockingReadAction.finalizedExecutionTimeUs,1743796712636000000,1743796730096000000,194794
FlushQueue.waitingTimeMaxNs,1743796712636000000,1743796730096000000,387973119
AWTEventQueue.dispatchTimeTotalNS,1743796712636000000,1743796730096000000,3507082803
Indexes.entries.lookups,1743796712636000000,1743796730096000000,9.0
Indexes.stubs.lookupDurationAvgMs,1743796712636000000,1743796730096000000,0.0
Indexes.entries.lookupDuration90PMs,1743796712636000000,1743796730096000000,10.0
Indexes.stubs.lookupDurationMaxMs,1743796712636000000,1743796730096000000,0.0
Indexes.entries.lookupDurationMaxMs,1743796712636000000,1743796730096000000,10.0
Indexes.allKeys.lookupDurationMaxMs,1743796712636000000,1743796730096000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1743796712636000000,1743796730096000000,0.0
Indexes.stubs.lookupDuration90PMs,1743796712636000000,1743796730096000000,0.0
Indexes.allKeys.lookups,1743796712636000000,1743796730096000000,0.0
Indexes.stubs.lookups,1743796712636000000,1743796730096000000,0.0
Indexes.entries.lookupDurationAvgMs,1743796712636000000,1743796730096000000,2.888888888888889
Indexes.allKeys.lookupDuration90PMs,1743796712636000000,1743796730096000000,0.0
workspaceModel.mutableEntityStorage.put.entity.ms,1743796712636000000,1743796730096000000,7
workspaceModel.mutableEntityStorage.add.entity.ms,1743796712636000000,1743796730096000000,38
workspaceModel.sync.entities.ms,1743796712636000000,1743796730096000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1743796712636000000,1743796730096000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1743796712636000000,1743796730096000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1743796712636000000,1743796730096000000,0
workspaceModel.moduleBridge.before.changed.ms,1743796712636000000,1743796730096000000,0
jps.module.iml.entities.serializer.save.entities.ms,1743796712636000000,1743796730096000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1743796712636000000,1743796730096000000,0
jps.global.initialize.library.bridges.ms,1743796712636000000,1743796730096000000,4
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1743796712636000000,1743796730096000000,0
jps.project.serializers.load.ms,1743796712636000000,1743796730096000000,26
jps.facet.change.listener.before.change.events.ms,1743796712636000000,1743796730096000000,0
jps.global.initialize.library.bridges.after.loading.ms,1743796712636000000,1743796730096000000,0
jps.global.get.libraries.ms,1743796712636000000,1743796730096000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1743796712636000000,1743796730096000000,0
workspaceModel.global.updates.ms,1743796712636000000,1743796730096000000,0
jps.artifact.entities.serializer.save.entities.ms,1743796712636000000,1743796730096000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1743796712636000000,1743796730096000000,0
jps.library.entities.serializer.save.entities.ms,1743796712636000000,1743796730096000000,0
jps.storage.jps.conf.reader.load.component.ms,1743796712636000000,1743796730096000000,23
workspaceModel.mutableEntityStorage.remove.entity.ms,1743796712636000000,1743796730096000000,0
jps.load.project.to.empty.storage.ms,1743796712636000000,1743796730096000000,58
workspaceModel.moduleBridge.update.option.ms,1743796712636000000,1743796730096000000,0
workspaceModel.mutableEntityStorage.entities.ms,1743796712636000000,1743796730096000000,0
jps.global.get.library.ms,1743796712636000000,1743796730096000000,0
jps.global.handle.before.change.events.ms,1743796712636000000,1743796730096000000,0
workspaceModel.orphan.listener.update.ms,1743796712636000000,1743796730096000000,0
jps.load.initial.state.ms,1743796712636000000,1743796730096000000,2
workspaceModel.mutableEntityStorage.add.diff.ms,1743796712636000000,1743796730096000000,5
jps.project.serializers.save.ms,1743796712636000000,1743796730096000000,0
workspaceModel.global.updates.count,1743796712636000000,1743796730096000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1743796712636000000,1743796730096000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1743796712636000000,1743796730096000000,0
workspaceModel.load.cache.from.file.ms,1743796712636000000,1743796730096000000,64
jps.global.handle.changed.events.ms,1743796712636000000,1743796730096000000,0
jps.apply.loaded.storage.ms,1743796712636000000,1743796730096000000,14
jps.facet.change.listener.process.change.events.ms,1743796712636000000,1743796730096000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1743796712636000000,1743796730096000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1743796712636000000,1743796730096000000,1
workspaceModel.moduleManagerBridge.get.modules.ms,1743796712636000000,1743796730096000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1743796712636000000,1743796730096000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1743796712636000000,1743796730096000000,74
jps.facet.change.listener.init.bridge.ms,1743796712636000000,1743796730096000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1743796712636000000,1743796730096000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1743796712636000000,1743796730096000000,6
workspaceModel.mutableEntityStorage.entities.by.source.ms,1743796712636000000,1743796730096000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1743796712636000000,1743796730096000000,199
jps.reload.project.entities.ms,1743796712636000000,1743796730096000000,0
