# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.updates.precise.ms,1743797289715000000,1743797303526000000,19
workspaceModel.loading.from.cache.ms,1743797289715000000,1743797303526000000,66
workspaceModel.update.unloaded.entities.ms,1743797289715000000,1743797303526000000,0
workspaceModel.pre.handlers.ms,1743797289715000000,1743797303526000000,0
workspaceModel.updates.count,1743797289715000000,1743797303526000000,5
workspaceModel.init.bridges.ms,1743797289715000000,1743797303526000000,7
workspaceModel.check.recursive.update.ms,1743797289715000000,1743797303526000000,0
workspaceModel.updates.ms,1743797289715000000,1743797303526000000,46
workspaceModel.loading.total.ms,1743797289715000000,1743797303526000000,72
workspaceModel.to.snapshot.ms,1743797289715000000,1743797303526000000,1
workspaceModel.replace.project.model.ms,1743797289715000000,1743797303526000000,0
workspaceModel.initializing.ms,1743797289715000000,1743797303526000000,7
workspaceModel.collect.changes.ms,1743797289715000000,1743797303526000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1743797289715000000,1743797303526000000,0
jps.load.initial.state.ms,1743797289715000000,1743797303526000000,4
jps.global.get.libraries.ms,1743797289715000000,1743797303526000000,1
workspaceModel.mutableEntityStorage.replace.by.source.ms,1743797289715000000,1743797303526000000,13
jps.global.initialize.library.bridges.after.loading.ms,1743797289715000000,1743797303526000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1743797289715000000,1743797303526000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1743797289715000000,1743797303526000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1743797289715000000,1743797303526000000,6
workspaceModel.orphan.listener.update.ms,1743797289715000000,1743797303526000000,2
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1743797289715000000,1743797303526000000,1
jps.load.project.to.empty.storage.ms,1743797289715000000,1743797303526000000,62
workspaceModel.global.updates.count,1743797289715000000,1743797303526000000,0
workspaceModel.save.cache.to.file.ms,1743797289715000000,1743797303526000000,38
jps.artifact.entities.serializer.save.entities.ms,1743797289715000000,1743797303526000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1743797289715000000,1743797303526000000,0
workspaceModel.moduleBridge.update.option.ms,1743797289715000000,1743797303526000000,0
