# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.totalCpuTimeMs,1743796608955000000,1743796668966000000,31404
JVM.maxHeapBytes,1743796608955000000,1743796668966000000,2147483648
JVM.GC.collections,1743796608955000000,1743796668966000000,26
JVM.threadCount,1743796608955000000,1743796668966000000,123
JVM.GC.collectionTimesMs,1743796608955000000,1743796668966000000,81
OS.loadAverage,1743796608955000000,1743796668966000000,2.41455078125
JVM.maxNativeBytes,1743796608955000000,1743796668966000000,-1
JVM.usedHeapBytes,1743796608955000000,1743796668966000000,481314672
JVM.usedNativeBytes,1743796608955000000,1743796668966000000,310663696
jps.project.serializers.load.ms,1743796608955000000,1743796668966000000,27
workspaceModel.mutableEntityStorage.collect.changes.ms,1743796608955000000,1743796668966000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1743796608955000000,1743796668966000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1743796608955000000,1743796668966000000,0
jps.reload.project.entities.ms,1743796608955000000,1743796668966000000,0
jps.artifact.entities.serializer.load.entities.ms,1743796608955000000,1743796668966000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1743796608955000000,1743796668966000000,6
jps.storage.jps.conf.reader.load.component.ms,1743796608955000000,1743796668966000000,23
workspaceModel.moduleManagerBridge.get.modules.ms,1743796608955000000,1743796668966000000,1
workspaceModel.mutableEntityStorage.has.same.entities.ms,1743796608955000000,1743796668966000000,0
jps.module.iml.entities.serializer.save.entities.ms,1743796608955000000,1743796668966000000,0
jps.app.storage.content.writer.save.component.ms,1743796608955000000,1743796668966000000,0
jps.global.get.libraries.ms,1743796608955000000,1743796668966000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1743796608955000000,1743796668966000000,0
workspaceModel.moduleBridge.before.changed.ms,1743796608955000000,1743796668966000000,0
jps.artifact.entities.serializer.save.entities.ms,1743796608955000000,1743796668966000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1743796608955000000,1743796668966000000,0
jps.global.get.library.ms,1743796608955000000,1743796668966000000,0
jps.load.initial.state.ms,1743796608955000000,1743796668966000000,2
jps.library.entities.serializer.save.entities.ms,1743796608955000000,1743796668966000000,0
jps.app.storage.content.reader.load.component.ms,1743796608955000000,1743796668966000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1743796608955000000,1743796668966000000,44
workspaceModel.load.cache.from.file.ms,1743796608955000000,1743796668966000000,83
jps.global.initialize.library.bridges.after.loading.ms,1743796608955000000,1743796668966000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1743796608955000000,1743796668966000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1743796608955000000,1743796668966000000,0
workspaceModel.save.cache.to.file.ms,1743796608955000000,1743796668966000000,36
jps.load.project.to.empty.storage.ms,1743796608955000000,1743796668966000000,61
jps.global.handle.changed.events.ms,1743796608955000000,1743796668966000000,0
workspaceModel.global.apply.state.to.project.ms,1743796608955000000,1743796668966000000,2
workspaceModel.moduleBridge.update.option.ms,1743796608955000000,1743796668966000000,0
jps.save.global.entities.ms,1743796608955000000,1743796668966000000,1
jps.facet.change.listener.process.change.events.ms,1743796608955000000,1743796668966000000,1
jps.global.get.library.by.name.ms,1743796608955000000,1743796668966000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1743796608955000000,1743796668966000000,79
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1743796608955000000,1743796668966000000,3
workspaceModel.mutableEntityStorage.entities.ms,1743796608955000000,1743796668966000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1743796608955000000,1743796668966000000,0
workspaceModel.global.updates.count,1743796608955000000,1743796668966000000,0
jps.apply.loaded.storage.ms,1743796608955000000,1743796668966000000,17
workspaceModel.mutableEntityStorage.put.entity.ms,1743796608955000000,1743796668966000000,6
workspaceModel.mutableEntityStorage.entities.by.source.ms,1743796608955000000,1743796668966000000,0
jps.library.entities.serializer.load.entities.ms,1743796608955000000,1743796668966000000,10
jps.save.changed.project.entities.ms,1743796608955000000,1743796668966000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1743796608955000000,1743796668966000000,6
workspaceModel.moduleBridgeLoader.loading.modules.ms,1743796608955000000,1743796668966000000,202
workspaceModel.moduleManagerBridge.load.module.ms,1743796608955000000,1743796668966000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1743796608955000000,1743796668966000000,0
jps.project.serializers.save.ms,1743796608955000000,1743796668966000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1743796608955000000,1743796668966000000,0
jps.facet.change.listener.before.change.events.ms,1743796608955000000,1743796668966000000,0
workspaceModel.sync.entities.ms,1743796608955000000,1743796668966000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1743796608955000000,1743796668966000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1743796608955000000,1743796668966000000,11
jps.global.handle.before.change.events.ms,1743796608955000000,1743796668966000000,0
jps.global.initialize.library.bridges.ms,1743796608955000000,1743796668966000000,5
workspaceModel.orphan.listener.update.ms,1743796608955000000,1743796668966000000,3
workspaceModel.global.apply.state.to.project.builder.ms,1743796608955000000,1743796668966000000,0
workspaceModel.global.updates.ms,1743796608955000000,1743796668966000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1743796608955000000,1743796668966000000,28
jps.module.iml.entities.serializer.load.entities.ms,1743796608955000000,1743796668966000000,43
jps.facet.change.listener.init.bridge.ms,1743796608955000000,1743796668966000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1743796608955000000,1743796668966000000,1
FlushQueue.waitingTimeAvgNs,1743796608955000000,1743796668966000000,2.5721365312297735E7
FlushQueue.waitingTimeMaxNs,1743796608955000000,1743796668966000000,400556031
