# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.allKeys.lookupDurationAvgMs,1743796381421000000,1743796441430000000,0.0
IndexesFlusher.totalFlushesRetried,1743796381421000000,1743796441430000000,0
Indexes.entries.lookupDurationAvgMs,1743796381421000000,1743796441430000000,2.5833333333333335
VFSFlusher.totalFlushingTimeUs,1743796381421000000,1743796441430000000,15058
Indexes.allKeys.lookupDuration90PMs,1743796381421000000,1743796441430000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1743796381421000000,1743796441430000000,0.0
Indexes.stubs.lookupDuration90PMs,1743796381421000000,1743796441430000000,0.0
Indexes.entries.lookups,1743796381421000000,1743796441430000000,12.0
IndexesFlusher.totalContentionQuotaSpent,1743796381421000000,1743796441430000000,0
VFSFlusher.totalFlushesRetried,1743796381421000000,1743796441430000000,0
Indexes.stubs.lookupDurationAvgMs,1743796381421000000,1743796441430000000,0.0
Indexes.entries.lookupDuration90PMs,1743796381421000000,1743796441430000000,5.0
IndexesFlusher.totalFlushingTimeUs,1743796381421000000,1743796441430000000,492831
Indexes.stubs.lookupDurationMaxMs,1743796381421000000,1743796441430000000,0.0
VFSFlusher.totalFlushes,1743796381421000000,1743796441430000000,4
Indexes.allKeys.lookups,1743796381421000000,1743796441430000000,0.0
VFSFlusher.totalContentionQuotaSpent,1743796381421000000,1743796441430000000,0
Indexes.entries.lookupDurationMaxMs,1743796381421000000,1743796441430000000,9.0
IndexesFlusher.totalFlushes,1743796381421000000,1743796441430000000,58
Indexes.stubs.lookups,1743796381421000000,1743796441430000000,0.0
FileNameCache.totalMisses,1743796381421000000,1743796441430000000,44759
FileNameCache.fastMisses,1743796381421000000,1743796441430000000,67399
FileNameCache.queries,1743796381421000000,1743796441430000000,1468871
FilePageCache.totalPageDisposalsUs,1743796381421000000,1743796441430000000,842
FilePageCache.disposedBuffers,1743796381421000000,1743796441430000000,3
FilePageCache.maxRegisteredFiles,1743796381421000000,1743796441430000000,635
StreamlinedBlobStorage.recordsAllocated,1743796381421000000,1743796441430000000,84264
FilePageCache.uncachedFileAccess,1743796381421000000,1743796441430000000,141
StorageLockContext.competingThreads.max,1743796381421000000,1743796441430000000,7
FilePageCache.capacityInBytes,1743796381421000000,1743796441430000000,524288000
FilePageCache.maxCacheSizeInBytes,1743796381421000000,1743796441430000000,263233536
StorageLockContext.competingThreads.avg,1743796381421000000,1743796441430000000,0.059322033898305086
FilePageCache.pageLoadsAboveSizeThreshold,1743796381421000000,1743796441430000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1743796381421000000,1743796441430000000,263233536
StorageLockContext.competingThreads.90P,1743796381421000000,1743796441430000000,0
FilePageCache.totalPageLoadsUs,1743796381421000000,1743796441430000000,247285
StreamlinedBlobStorage.recordsDeleted,1743796381421000000,1743796441430000000,152
DirectByteBufferAllocator.misses,1743796381421000000,1743796441430000000,247
DirectByteBufferAllocator.hits,1743796381421000000,1743796441430000000,3
FilePageCache.pageLoads,1743796381421000000,1743796441430000000,250
DirectByteBufferAllocator.disposed,1743796381421000000,1743796441430000000,0
DirectByteBufferAllocator.reclaimed,1743796381421000000,1743796441430000000,3
FilePageCache.pageFastCacheHits,1743796381421000000,1743796441430000000,158495
StreamlinedBlobStorage.recordsRelocated,1743796381421000000,1743796441430000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1743796381421000000,1743796441430000000,2465102
FilePageCache.pageHits,1743796381421000000,1743796441430000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1743796381421000000,1743796441430000000,5949284
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1743796381421000000,1743796441430000000,0
JVM.GC.collections,1743796381421000000,1743796441430000000,19
JVM.maxHeapBytes,1743796381421000000,1743796441430000000,2147483648
OS.loadAverage,1743796381421000000,1743796441430000000,4.1513671875
JVM.usedNativeBytes,1743796381421000000,1743796441430000000,300333024
JVM.maxNativeBytes,1743796381421000000,1743796441430000000,-1
JVM.usedHeapBytes,1743796381421000000,1743796441430000000,238960976
JVM.GC.collectionTimesMs,1743796381421000000,1743796441430000000,91
JVM.totalCpuTimeMs,1743796381421000000,1743796441430000000,29705
JVM.threadCount,1743796381421000000,1743796441430000000,121
jps.reload.project.entities.ms,1743796381421000000,1743796441430000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1743796381421000000,1743796441430000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1743796381421000000,1743796441430000000,0
jps.module.iml.entities.serializer.save.entities.ms,1743796381421000000,1743796441430000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1743796381421000000,1743796441430000000,0
jps.load.project.to.empty.storage.ms,1743796381421000000,1743796441430000000,56
workspaceModel.mutableEntityStorage.replace.by.source.ms,1743796381421000000,1743796441430000000,11
jps.module.iml.entities.serializer.load.entities.ms,1743796381421000000,1743796441430000000,27
jps.library.entities.serializer.save.entities.ms,1743796381421000000,1743796441430000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1743796381421000000,1743796441430000000,26
workspaceModel.moduleBridge.before.changed.ms,1743796381421000000,1743796441430000000,0
jps.artifact.entities.serializer.load.entities.ms,1743796381421000000,1743796441430000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1743796381421000000,1743796441430000000,0
jps.project.serializers.load.ms,1743796381421000000,1743796441430000000,24
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1743796381421000000,1743796441430000000,0
jps.load.initial.state.ms,1743796381421000000,1743796441430000000,4
workspaceModel.delayed.project.synchronizer.sync.ms,1743796381421000000,1743796441430000000,70
workspaceModel.global.updates.count,1743796381421000000,1743796441430000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1743796381421000000,1743796441430000000,0
jps.facet.change.listener.init.bridge.ms,1743796381421000000,1743796441430000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1743796381421000000,1743796441430000000,0
workspaceModel.mutableEntityStorage.entities.ms,1743796381421000000,1743796441430000000,0
workspaceModel.sync.entities.ms,1743796381421000000,1743796441430000000,0
workspaceModel.orphan.listener.update.ms,1743796381421000000,1743796441430000000,1
workspaceModel.moduleManagerBridge.get.modules.ms,1743796381421000000,1743796441430000000,0
jps.app.storage.content.reader.load.component.ms,1743796381421000000,1743796441430000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1743796381421000000,1743796441430000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1743796381421000000,1743796441430000000,5
jps.storage.jps.conf.reader.load.component.ms,1743796381421000000,1743796441430000000,13
workspaceModel.save.cache.to.file.ms,1743796381421000000,1743796441430000000,33
jps.global.get.library.by.name.ms,1743796381421000000,1743796441430000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1743796381421000000,1743796441430000000,6
workspaceModel.moduleBridge.update.option.ms,1743796381421000000,1743796441430000000,0
jps.artifact.entities.serializer.save.entities.ms,1743796381421000000,1743796441430000000,0
jps.global.handle.changed.events.ms,1743796381421000000,1743796441430000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1743796381421000000,1743796441430000000,0
jps.save.changed.project.entities.ms,1743796381421000000,1743796441430000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1743796381421000000,1743796441430000000,0
jps.global.get.libraries.ms,1743796381421000000,1743796441430000000,0
jps.facet.change.listener.before.change.events.ms,1743796381421000000,1743796441430000000,0
jps.global.initialize.library.bridges.after.loading.ms,1743796381421000000,1743796441430000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1743796381421000000,1743796441430000000,0
jps.facet.change.listener.process.change.events.ms,1743796381421000000,1743796441430000000,0
jps.app.storage.content.writer.save.component.ms,1743796381421000000,1743796441430000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1743796381421000000,1743796441430000000,0
workspaceModel.load.cache.from.file.ms,1743796381421000000,1743796441430000000,61
jps.global.get.library.ms,1743796381421000000,1743796441430000000,0
jps.save.global.entities.ms,1743796381421000000,1743796441430000000,0
jps.global.handle.before.change.events.ms,1743796381421000000,1743796441430000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1743796381421000000,1743796441430000000,0
jps.apply.loaded.storage.ms,1743796381421000000,1743796441430000000,13
workspaceModel.mutableEntityStorage.add.entity.ms,1743796381421000000,1743796441430000000,53
workspaceModel.global.apply.state.to.project.ms,1743796381421000000,1743796441430000000,3
workspaceModel.mutableEntityStorage.put.entity.ms,1743796381421000000,1743796441430000000,2
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1743796381421000000,1743796441430000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1743796381421000000,1743796441430000000,202
jps.global.initialize.library.bridges.ms,1743796381421000000,1743796441430000000,7
jps.library.entities.serializer.load.entities.ms,1743796381421000000,1743796441430000000,9
workspaceModel.global.updates.ms,1743796381421000000,1743796441430000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1743796381421000000,1743796441430000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1743796381421000000,1743796441430000000,0
jps.project.serializers.save.ms,1743796381421000000,1743796441430000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1743796381421000000,1743796441430000000,1
AWTEventQueue.dispatchTimeAvgNs,1743796381421000000,1743796441430000000,805570.8171268507
FlushQueue.tasksExecuted,1743796381421000000,1743796441430000000,774
FlushQueue.waitingTimeAvgNs,1743796381421000000,1743796441430000000,3.8356409069767445E7
AWTEventQueue.dispatchTime90PNs,1743796381421000000,1743796441430000000,831487
NonBlockingReadAction.failedExecutionsCount,1743796381421000000,1743796441430000000,4
AWTEventQueue.dispatchTimeMaxNs,1743796381421000000,1743796441430000000,436207615
FlushQueue.executionTimeAvgNs,1743796381421000000,1743796441430000000,2324002.273901809
FlushQueue.waitingTimeMaxNs,1743796381421000000,1743796441430000000,513802239
NonBlockingReadAction.failedExecutionTimeUs,1743796381421000000,1743796441430000000,120409
AWTEventQueue.dispatchTimeTotalNS,1743796381421000000,1743796441430000000,4024796477
FlushQueue.queueSizeMax,1743796381421000000,1743796441430000000,59
FlushQueue.queueSizeAvg,1743796381421000000,1743796441430000000,8.419896640826874
FlushQueue.queueSize90P,1743796381421000000,1743796441430000000,27
NonBlockingReadAction.finalizedExecutionTimeUs,1743796381421000000,1743796441430000000,429825
FlushQueue.executionTime90PNs,1743796381421000000,1743796441430000000,1662975
FlushQueue.waitingTime90PNs,1743796381421000000,1743796441430000000,124256255
NonBlockingReadAction.finalizedExecutionsCount,1743796381421000000,1743796441430000000,29
AWTEventQueue.eventsDispatched,1743796381421000000,1743796441430000000,4998
FlushQueue.executionTimeMaxNs,1743796381421000000,1743796441430000000,436207615
workspaceModel.pre.handlers.ms,1743796381421000000,1743796441430000000,0
